Input sequence (ground truth),Input sequence (masked),Masked tokens,Number of masked tokens,Duplicate count
de belangrijkste ontwikkelingen rond de uitbraak van het coronavirus dat Covid-19 veroorzaakt bij.,de belangrijkste ontwikkelingen rond <extra_id_0> van het coronavirus dat Covid-19 veroorzaakt bij.,['de uitbraak'],2,6
"Die Blechtrommel (Volker Schlndorff, 1979, West-Duitsland/Frankrijk/Portugal). Optimale verfilming van Gnter Grass","Die Blechtrommel <extra_id_0> 1979, West-Duitsland/Frankrijk/Portugal). Optimale verfilming van Gnter Grass","['(Volker Schlndorff,']",2,6
"verbijsterende roman, in de grimmige optiek van de kleine Oskar die weigert groot te worden in het kleinburgerlijke Dantzig van voor en tijdens het nationaal-socialisme. Met David Bennent,","verbijsterende roman, in de grimmige optiek van de kleine Oskar die weigert groot te worden <extra_id_0> van voor en tijdens het nationaal-socialisme. Met David Bennent,",['in het kleinburgerlijke Dantzig'],4,6
Deze rubriek belicht elke woensdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Deze week Europees recht:,Deze rubriek belicht elke woensdag kwesties uit het bedrijfsleven waarover de rechter zich <extra_id_0> week Europees recht:,['onlangs uitsprak. Deze'],3,6
". Iedere agent krijgt, of hij nu onregelmatig werkt of niet, een vaste toelage voor onregelmatigheid.",". Iedere agent krijgt, of hij nu onregelmatig werkt of niet, <extra_id_0> toelage voor onregelmatigheid.",['een vaste'],2,6
"Stand by Me (Rob Reiner, 1986, VS). Bescheiden Hollywoodverfilming van het autobiografische, psychologisch genuanceerde verhaal","Stand by Me (Rob Reiner, 1986, <extra_id_0> Hollywoodverfilming van het autobiografische, psychologisch genuanceerde verhaal",['VS). Bescheiden'],2,6
"Vier twaalfjarige jongens in Oregon, in de zomer van 1959, ondernemen speurtocht naar het lijk van verongelukte leeftijdgenoot.","Vier twaalfjarige jongens in Oregon, in de zomer van 1959, ondernemen speurtocht naar <extra_id_0> verongelukte leeftijdgenoot.",['het lijk van'],3,6
"The Graduate (Mike Nichols, 1967, VS). Eerste grote rol van Dustin Hoffman in onweerstaanbare, volgens menigeen overschatte","The Graduate (Mike Nichols, 1967, <extra_id_0> rol van Dustin Hoffman in onweerstaanbare, volgens menigeen overschatte",['VS). Eerste grote'],3,6
. Gefortuneerd leeghoofdje Goldie Hawn lijdt aan geheugenverlies. Wraaklustige timmerman Kurt Russell laat haar opdraaien voor zijn chaotisch,. Gefortuneerd leeghoofdje <extra_id_0> aan geheugenverlies. Wraaklustige timmerman Kurt Russell laat haar opdraaien voor zijn chaotisch,['Goldie Hawn lijdt'],3,6
waarin de assistente van een Amerikaanse senator naar Ierland wordt gestuurd voor meer informatie over zijn afkomst. Ze komt terecht in,waarin de assistente van een Amerikaanse <extra_id_0> wordt gestuurd voor meer informatie over zijn afkomst. Ze komt terecht in,['senator naar Ierland'],3,6
"Sweet Home Alabama (Andy Tennant, 2002, VS). Onschuldige formulekomedie met Reese Witherspoon als succesvol modeontwerpster in New York","Sweet Home Alabama (Andy Tennant, 2002, VS). <extra_id_0> Reese Witherspoon als succesvol modeontwerpster in New York",['Onschuldige formulekomedie met'],3,6
. Droogkomische grappen en onverwachte wendingen door de kluchtige cabaretier Reinder van der Naalt.,. <extra_id_0> en onverwachte wendingen door de kluchtige cabaretier Reinder van der Naalt.,['Droogkomische grappen'],2,6
; Kalm aan en rap een beetje Herman Finkers met een nieuwe stortvloed aan droogkomische grappen over alles en niets.,; Kalm aan en rap een beetje Herman Finkers met een nieuwe stortvloed <extra_id_0> over alles en niets.,['aan droogkomische grappen'],3,6
"dat zich laat charmeren door het charisma van de geslaagde boef. Een genuanceerd portret van een opvoeding in een gezellige en tegelijk gevaarlijke buurt, waar het slechte voorbeeld ook zijn goede kanten heeft.","dat zich laat charmeren door het charisma van de geslaagde boef. Een genuanceerd portret van een opvoeding in een <extra_id_0> buurt, waar het slechte voorbeeld ook zijn goede kanten heeft.",['gezellige en tegelijk gevaarlijke'],5,6
". PROCEDURE 769 Strakke, min of meer objectieve documentaire van Nederlandse debutant Jaap van Hoewijk laat elf getuigen van de executie van een Californische moordenaar in de San Quentin-gevangenis aan het woord. Hun gevarieerde betrokkenheid bij de veroordeelde en zijn slachtoffers veroorzaakt een niet-psychologisch gedefinieerd panorama van meningen en gevoelens over de doodstraf, dat grote indruk maakt.",". PROCEDURE 769 Strakke, min of meer objectieve documentaire van Nederlandse debutant Jaap <extra_id_0> elf getuigen van de executie van een Californische moordenaar in <extra_id_1> aan het woord. Hun gevarieerde betrokkenheid bij de veroordeelde en zijn slachtoffers <extra_id_2> gedefinieerd panorama van meningen en gevoelens over de doodstraf, dat grote indruk maakt.","['van Hoewijk laat', 'de San Quentin-gevangenis', 'veroorzaakt een niet-psychologisch']",9,6
Nicolien Mizee geeft een cursus Verhalen schrijven aan de Volksuniversiteit. Ze laat zich inspireren door h,Nicolien Mizee geeft een cursus Verhalen schrijven aan de Volksuniversiteit. Ze laat zich <extra_id_0> h,['inspireren door'],2,6
"David Zucker, 1988, VS). Door parodirende kwajongens David en Jerry Zucker en Jim Abrahams geschreven komedie is vervolg op tv-serie Police Squad!, met hoofdrol van","David Zucker, 1988, VS). Door parodirende kwajongens David en Jerry Zucker en Jim Abrahams geschreven komedie is vervolg op <extra_id_0> hoofdrol van","['tv-serie Police Squad!, met']",4,6
"achtige film in kauwgomplaatjeskleuren en schots-en-scheve beelden, waarin de hoofdrollen zijn weggelegd voor Tommy Lee Jones als de hijgende schizofreen Two-Face","<extra_id_0> kauwgomplaatjeskleuren en schots-en-scheve beelden, waarin de hoofdrollen zijn weggelegd voor Tommy Lee Jones als de hijgende schizofreen Two-Face",['achtige film in'],3,6
. Zijn grijze haarspoeling kleurt perfect bij zijn pak en de dure zonnebril is altijd binnen handbereik.,. Zijn grijze haarspoeling kleurt perfect bij <extra_id_0> de dure zonnebril is altijd binnen handbereik.,['zijn pak en'],3,6
"Haneke Europa als een toren van Babel, waar de snel versmeltende (sub)culturen elkaar niet meer begrijpen. De vrreikende gevolgen van een incident in","Haneke Europa als een toren van Babel, waar de snel versmeltende (sub)culturen elkaar niet meer begrijpen. De vrreikende <extra_id_0> incident in",['gevolgen van een'],3,6
gestileerde drieluik over de Amerikaanse geschiedenis en mythologie (naast Once Upon a Time in the West en Duck You Sucker,gestileerde drieluik <extra_id_0> geschiedenis en mythologie (naast Once Upon a Time in the West en Duck You Sucker,['over de Amerikaanse'],3,6
investeringen te doen of andere activiteiten te ontplooien in of ten behoeve van Isralische nederzettingen in de bezette Palestijnse,investeringen te doen of andere activiteiten te ontplooien <extra_id_0> behoeve van Isralische nederzettingen in de bezette Palestijnse,['in of ten'],3,6
EEN GOED ONTBIJT Gedetailleerd spel van Catherine ten Bruggecate en Peter Faber in het conversatie-stuk van David Hare over de kloof tussen twee verliefde mensen.,EEN GOED <extra_id_0> Catherine ten Bruggecate en Peter Faber in het conversatie-stuk van David Hare over de kloof tussen twee verliefde mensen.,['ONTBIJT Gedetailleerd spel van'],4,6
"Gevoelig portret van een typische white trash-familie op het Amerikaanse platteland. Dood en liefde doorkruisen doodgewone levens, die bijzonder worden door de liefdevolle aandacht die regisseur Lasse Hallstrm eraan wijdt en door een paar onvergelijkelijke rollen, met name die van Darlene Cates als de onvoorstelbaar dikke moeder.","Gevoelig portret van een typische white trash-familie op <extra_id_0> Dood en liefde doorkruisen doodgewone levens, die bijzonder worden door de liefdevolle aandacht die regisseur Lasse Hallstrm eraan wijdt en door een <extra_id_1> name die van Darlene Cates als de onvoorstelbaar dikke moeder.","['het Amerikaanse platteland.', 'paar onvergelijkelijke rollen, met']",7,6
Leiden leverde veel nieuw bronnenmateriaal op en bracht ook kunstvoorwerpen opnieuw aan het licht. Het resulteerde in een levendige expositie,Leiden leverde veel nieuw bronnenmateriaal op en bracht ook kunstvoorwerpen opnieuw aan het licht. Het <extra_id_0> levendige expositie,['resulteerde in een'],3,6
"orkse fruitgrossier Tom Hanks beleeft romance met Darryl Hannah, die een zeemeermin blijkt te zijn.","orkse fruitgrossier Tom Hanks beleeft romance met Darryl Hannah, die <extra_id_0> blijkt te zijn.",['een zeemeermin'],2,6
"Flodder (Dick Maas, 1986, Nederland). Karikaturale klucht met het idioom van een stripverhaal, over asociaal gezin dat door sociaal werker wordt ondergebracht in chique villawijk. De oer","Flodder (Dick Maas, 1986, Nederland). Karikaturale klucht met het idioom van een stripverhaal, over <extra_id_0> sociaal werker wordt ondergebracht in chique villawijk. De oer",['asociaal gezin dat door'],4,6
it de school geklapt wordt de blik gericht op kleine maar belangrijke aspecten van het schoolbestaan.,it de school geklapt wordt de blik gericht op kleine maar belangrijke aspecten <extra_id_0> schoolbestaan.,['van het'],2,6
. Sommige piraten veranderen bij maanlicht in skeletten. Johnny Depp is de onverwachte droompiraat in dit traditionele spektakel.,. Sommige piraten veranderen bij maanlicht in skeletten. Johnny Depp is de onverwachte <extra_id_0> traditionele spektakel.,['droompiraat in dit'],3,6
"Maarten van Roozendaal zingt de blues zoals die zelden wordt gezongen: bizar, weemoedig en voortdurend onvoorspelbaar.","Maarten van Roozendaal zingt de blues zoals die zelden wordt gezongen: bizar, weemoedig <extra_id_0> onvoorspelbaar.",['en voortdurend'],2,6
"volgt de patronen van de traditionele screwball comedy, maar draait de rollen om. Vriendloze (maar gelukkig verloofde) P","<extra_id_0> van de traditionele screwball comedy, maar draait de rollen om. Vriendloze (maar gelukkig verloofde) P",['volgt de patronen'],3,6
", satirische komedie-klassieker. Ogenschijnlijk ten dode opgeschreven provinciemeisje Carole Lombard laat zich aandacht welgevallen van New",<extra_id_0> komedie-klassieker. Ogenschijnlijk ten dode opgeschreven provinciemeisje Carole Lombard laat zich aandacht welgevallen van New,"[', satirische']",2,6
Deze rubriek belicht elke woensdag kwesties uit het bedrijfsleven waarover de rechter zich onlangs uitsprak. Deze week,Deze rubriek belicht elke woensdag kwesties uit het bedrijfsleven waarover de <extra_id_0> uitsprak. Deze week,['rechter zich onlangs'],3,6
Dat blijkt uit cijfers die het Centraal Bureau voor de Statistiek (CBS) vandaag bekend heeft gemaakt.,Dat blijkt uit cijfers die het Centraal Bureau voor de Statistiek <extra_id_0> bekend heeft gemaakt.,['(CBS) vandaag'],2,6
"The Blues Brothers (John Landis, 1980, VS). Maffe komedie met John Belushi en Dan Aykroyd als de in het tv-programma",The Blues Brothers <extra_id_0> VS). Maffe komedie met John Belushi en Dan Aykroyd als de in het tv-programma,"['(John Landis, 1980,']",3,6
"maken zij Chicago onveilig. Hommage aan de zwarte Amerikaanse muziek herbergt o.a. Aretha Franklin, James Brown en Ray Charles.","maken zij Chicago <extra_id_0> de zwarte Amerikaanse muziek herbergt o.a. Aretha Franklin, James Brown en Ray Charles.",['onveilig. Hommage aan'],3,6
vergeten Noord-Franse mijnstreek. Tegen de klippen van bureaucratie en kinderverwaarlozing op blijft een onderwijzer (Philippe Torreton) strijden om zijn kinderen aan een beter bestaan te helpen.,vergeten Noord-Franse mijnstreek. Tegen de <extra_id_0> kinderverwaarlozing op blijft een onderwijzer (Philippe Torreton) strijden om zijn kinderen aan een beter bestaan te helpen.,['klippen van bureaucratie en'],4,6
"Door de Woody Allen-imitatie van Kenneth Branagh als nerveus, gemankeerd romanschrijver en journalist die in een premature midlife crisis zijn vrouw verlaat, is dit niet Allens beste film. Toch wordt Amerika's toenemende, ziekelijke obsessie met roem geestig in kaart gebracht","Door de Woody Allen-imitatie van Kenneth Branagh als nerveus, <extra_id_0> journalist die in een premature midlife crisis zijn vrouw verlaat, is dit niet Allens <extra_id_1> wordt Amerika's toenemende, ziekelijke obsessie met roem geestig in kaart gebracht","['gemankeerd romanschrijver en', 'beste film. Toch']",6,6
". HOOP DREAMS De documentairemakers Steve James, Fred Marx en Peter Gilbert volgden gedurende vier jaar de carrire van twee basketbaltalenten uit de arme zwarte buurten van Chicago. Het resultaat is een ontroerende en drie uur lang spannende social documentary over de groezelige praktijk van de Amerikaanse Droom.",". HOOP DREAMS De documentairemakers Steve James, Fred Marx en Peter Gilbert volgden gedurende vier jaar de carrire van twee basketbaltalenten uit de arme zwarte buurten van Chicago. Het resultaat is een ontroerende en drie uur lang spannende social documentary <extra_id_0> van <extra_id_1>","['over de groezelige praktijk', 'de Amerikaanse Droom.']",7,6
/ eyevine Contact eyevine for more information about using this image: T: +44 (0) 20 8709 8709 E: info@eyevine.com http://,/ eyevine Contact eyevine for more information <extra_id_0> image: T: +44 (0) 20 8709 8709 E: info@eyevine.com http://,['about using this'],3,6
groep van raadsheren is in opstand gekomen tegen de in hun ogen steeds zwaardere productie-eisen die aan het rechtspreken worden gesteld.,groep van raadsheren is in opstand gekomen tegen de in hun ogen steeds <extra_id_0> aan het rechtspreken worden gesteld.,['zwaardere productie-eisen die'],3,6
"The Rainmaker (Francis Ford Coppola, 1997, VS). Grisham-adaptatie over de juridische coming-of-age van een jonge advocaat (Matt Damon), die bleu in dienst treedt van het malafide, in schadeclaims gespecialiseerde advocatenkantoor van Mickey Rourke.","The Rainmaker <extra_id_0> VS). Grisham-adaptatie over de juridische coming-of-age van een jonge advocaat (Matt Damon), die bleu in dienst treedt van het malafide, in schadeclaims gespecialiseerde advocatenkantoor van Mickey Rourke.","['(Francis Ford Coppola, 1997,']",5,6
ragikomedie over honger naar publieke erkenning. Robert De Niro als middelmatige komiek voor wie wensdroom en realiteit door elkaar lopen en die een televisieoptreden probeert af te dwingen door zijn favoriete komiek Jerry Lewis te gijzelen.,ragikomedie over honger naar publieke erkenning. Robert De Niro als middelmatige komiek voor wie wensdroom en realiteit door elkaar lopen en die een televisieoptreden probeert af <extra_id_0> favoriete komiek Jerry Lewis te gijzelen.,['te dwingen door zijn'],5,6
"gebruikt de Stasi, de Oost-Duitse veiligheidsdienst, als decor voor een ingewikkeld liefdesdrama met v","gebruikt de Stasi, de Oost-Duitse <extra_id_0> decor voor een ingewikkeld liefdesdrama met v","['veiligheidsdienst, als']",2,6
1. e2-e4 c7-c5 2. Pg1-f3 d7-d6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. Pb1-c3 a7-a6 6. Lc1-e3 e7-e6 7. g2-g4,1. e2-e4 c7-c5 2. Pg1-f3 d7-d6 3. d2-d4 c5xd4 4. Pf3xd4 Pg8-f6 5. <extra_id_0> Lc1-e3 e7-e6 7. g2-g4,['Pb1-c3 a7-a6 6.'],3,6
"oap over de machtsstrijd tussen Susan Sarandon en Julia Roberts, respectievelijk de ex en de nieuwe vriendin van Ed Harris","oap over de machtsstrijd tussen Susan Sarandon en Julia Roberts, respectievelijk de <extra_id_0> nieuwe vriendin van Ed Harris",['ex en de'],3,6
". Deze rubriek gaat over kunstenaars en hun verzameling als bron van inspiratie. Heb jij als kunstenaar afbeeldingen, voorwerpen of kunst die jou speciaal inspireren? Stuur je bijdrage aan deze rubriek naar klik@nrc.nl",". Deze rubriek gaat over kunstenaars en hun verzameling als bron van inspiratie. <extra_id_0> afbeeldingen, voorwerpen of kunst die jou speciaal inspireren? Stuur je bijdrage aan deze rubriek naar klik@nrc.nl",['Heb jij als kunstenaar'],5,6
maar vederlichte succesfilm met Tom Hanks als de vleesgeworden naeve onschuld die zich tot held ontpopt bij allerlei historische gebeurtenissen in Amerika,maar vederlichte succesfilm met Tom Hanks als de vleesgeworden naeve onschuld die zich tot held ontpopt bij allerlei <extra_id_0> Amerika,['historische gebeurtenissen in'],3,6
"Marlie (1974) is introvert, heeft een passie voor schrijven, gedragspatronen en communicatie (NLP). Zij startte daarom haar (loopbaan)coaching","Marlie (1974) is introvert, heeft een passie voor schrijven, <extra_id_0> (NLP). Zij startte daarom haar (loopbaan)coaching",['gedragspatronen en communicatie'],3,6
"introverte professionals. In haar 18-jarige loopbaan in het bankwezen heeft ze veel ervaring opgedaan in het omgaan met haar introverte karakter. Deze ervaringen gebruikt ze nu om introverten tot bloei te laten komen in hun werk. Regelmatig schrijft ze over de verschillen tussen mensen, met als doel oordeel","introverte professionals. In haar 18-jarige loopbaan in het bankwezen heeft ze veel <extra_id_0> het omgaan met haar introverte karakter. Deze ervaringen gebruikt ze nu om introverten tot bloei te laten komen in hun werk. Regelmatig schrijft <extra_id_1> tussen mensen, met als doel oordeel","['ervaring opgedaan in', 'ze over de verschillen']",7,6
ontbeert geloofwaardigheid. In vermommingen gespecialiseerde huurmoordenaar Bruce Willis zal een FBI-baas te grazen nemen. Om dat te voorkomen,ontbeert geloofwaardigheid. In vermommingen gespecialiseerde huurmoordenaar Bruce Willis zal een FBI-baas <extra_id_0> Om dat te voorkomen,['te grazen nemen.'],3,6
Derde James Bondfilm met Roger Moore. Samen met Russische spionne Barbara Bach bestrijdt hij de megalomane Cur,Derde James Bondfilm <extra_id_0> Samen met Russische spionne Barbara Bach bestrijdt hij de megalomane Cur,['met Roger Moore.'],3,6
Hoorzitting in de Tweede Kamer: Kunnen Iraanse asielzoekers veilig worden teruggestuurd naar hun land?,Hoorzitting in de <extra_id_0> Kunnen Iraanse asielzoekers veilig worden teruggestuurd naar hun land?,['Tweede Kamer:'],2,6
"Informatie over activiteiten voor kinderen kunt u sturen naar NRC Handelsblad, Kinderagenda, Postbus 8987, 3009 TH Rotterdam","Informatie over activiteiten voor kinderen kunt u sturen naar NRC Handelsblad, Kinderagenda, Postbus 8987, <extra_id_0>",['3009 TH Rotterdam'],3,6
"Jan Sluijters, 100 schilderijen t/m 25 april in het Singermuseum, Oude Drift 1, Laren. Di-za 11-17u, zo","Jan Sluijters, 100 schilderijen t/m <extra_id_0> het Singermuseum, Oude Drift 1, Laren. Di-za 11-17u, zo",['25 april in'],3,6
"Obsessie voor schoonheid, Avant-garde fotografie van Erwin Blumenfeld t/m 25 april in het Joods Historisch Museum, J","Obsessie voor schoonheid, Avant-garde fotografie van <extra_id_0> 25 april in het Joods Historisch Museum, J",['Erwin Blumenfeld t/m'],3,6
Schrijver Arnon Grunberg verlaat zijn woonplaats New York op zoek naar de VS in coronatijd. Hij reist naar Miami en verkent onderweg enkele steden.,Schrijver Arnon <extra_id_0> New York op zoek naar de VS in coronatijd. Hij reist naar Miami en verkent onderweg enkele steden.,['Grunberg verlaat zijn woonplaats'],4,6
"van een dagelijks verslag vanaf SXSW, het muziek-, film- en technologiefestival dat jaarlijks wordt gehouden in Austin","van een dagelijks verslag <extra_id_0> muziek-, film- en technologiefestival dat jaarlijks wordt gehouden in Austin","['vanaf SXSW, het']",3,6
Wekelijks doet Japke-d. Bouma verslag van haar ontmoetingen met allerlei typen collegas. Deze week: de,Wekelijks doet Japke-d. Bouma verslag van haar ontmoetingen met allerlei typen <extra_id_0> week: de,['collegas. Deze'],2,6
"Het is een mooie en omvangrijke tentoonstelling, die eigenlijk te groot is om in n bezoek te consumeren.","Het is een mooie en omvangrijke tentoonstelling, die <extra_id_0> is om in n bezoek te consumeren.",['eigenlijk te groot'],3,6
"Acteur John Malkovich speelt zelf een kleine rol in absurd, vederlicht en tragisch debuut van clipregisseur Spike Jonze. Een verkommerde poppenspeler (John Cusack) vindt per ongeluk op kantoor een geheime gang die direct toegang geeft tot het brein van Malkovich en verkoopt met collega (Catherine Keener) toegangskaartjes voor dit magische evenement.","Acteur John Malkovich speelt zelf een kleine rol in absurd, vederlicht en tragisch debuut van <extra_id_0> verkommerde poppenspeler (John Cusack) vindt per ongeluk op kantoor een geheime gang die direct toegang geeft tot het brein van Malkovich <extra_id_1> (Catherine Keener) toegangskaartjes voor dit magische evenement.","['clipregisseur Spike Jonze. Een', 'en verkoopt met collega']",8,6
speelt in de jaren vijftig en draait om het terugvinden van een kristallen schedel in het Amazonegebied. De bad guy is een vrouw: de,speelt in de jaren vijftig <extra_id_0> terugvinden van een kristallen schedel in het Amazonegebied. De bad guy is een vrouw: de,['en draait om het'],4,6
e geleerde Irina Spalko (Cate Blanchett met een verrukkelijk Russisch accent). Een ambachtelijke blockbuster.,<extra_id_0> Irina Spalko (Cate Blanchett met een verrukkelijk Russisch accent). Een ambachtelijke blockbuster.,['e geleerde'],2,6
"verzamelt de wetenschapsredactie de leukste wetenschapsblogs, onderzoeken en interviews van de afgelopen week die u niet mogen ontgaan.","verzamelt de wetenschapsredactie de leukste wetenschapsblogs, onderzoeken en interviews <extra_id_0> week die u niet mogen ontgaan.",['van de afgelopen'],3,6
"de werkelijke herkomst van 1,8 miljoen Nederlandse belgegevens in handen van de Amerikaanse afluisterdienst NSA wel degelijk","de werkelijke herkomst van 1,8 miljoen <extra_id_0> handen van de Amerikaanse afluisterdienst NSA wel degelijk",['Nederlandse belgegevens in'],3,6
Ouderdom komt nu eenmaal met gebreken. En wat moeten we met mensen die euthanasie willen omdat ze niet in een verpleeghuis willen belanden? Dat is misschien begrijpelijk,Ouderdom komt nu eenmaal <extra_id_0> moeten we met mensen die euthanasie willen omdat ze niet in een verpleeghuis willen belanden? Dat is misschien begrijpelijk,['met gebreken. En wat'],4,6
Met flair en zwier en gesteund door de meer dan voortreffelijk spelende Anthony Hopkins en Emma Thompson verfilmde James Ivory Kazhuo Ishiguro's roman,Met flair en zwier en gesteund <extra_id_0> dan voortreffelijk spelende Anthony Hopkins en Emma Thompson verfilmde James Ivory Kazhuo Ishiguro's roman,['door de meer'],3,6
e Day': over een butler die zich in de jaren dertig zo volmaakt als butler heeft opgesteld dat hij in 1958 nog steeds niet weet hoe hij moet leven.,e Day': over een butler <extra_id_0> jaren dertig zo volmaakt als butler heeft opgesteld dat hij in 1958 nog steeds niet weet hoe hij moet leven.,['die zich in de'],4,6
"succesvolle verfilming van musical, die stripfiguur Little Orphan Annie plaatst in verhaaltje dat het midden houdt tussen Oliver Twist en Vadertje Langbeen.","succesvolle verfilming van musical, die stripfiguur Little Orphan Annie plaatst in verhaaltje dat het midden houdt tussen Oliver Twist <extra_id_0>",['en Vadertje Langbeen.'],3,6
e jubilerende Allard van der Scheer als markante man die langzaam maar zeker zijn vat op de taal verliest.,e jubilerende Allard <extra_id_0> als markante man die langzaam maar zeker zijn vat op de taal verliest.,['van der Scheer'],3,6
; Zin Sanne Wallis de Vries speelt haar tweede cabaretshow vol rare observaties en rake typeringen.,; Zin Sanne Wallis de Vries speelt haar tweede cabaretshow vol rare observaties <extra_id_0> typeringen.,['en rake'],2,6
". FORGET PARIS De geest van Woody Allen is vaardig over de film die Billy Crystal maakte over het relationele wel en wee van een solitaire basketbalscheidsrechter (Crystal) en een Amerikaanse Parisienne (Debra Winger). Een verrassend scenario,droogkomische dialogen en goede hoofd- en bijrollen (onder meer van Joe Mantegna en Julie Kavner) zorgen voor meer dan een standaard feelgood movie volgens beproefd Hollywood-recept. Amsterdam,",". FORGET PARIS De <extra_id_0> Allen <extra_id_1> de film die Billy Crystal maakte over het relationele wel en wee van een solitaire <extra_id_2> een Amerikaanse Parisienne (Debra Winger). Een verrassend scenario,droogkomische dialogen en goede hoofd- en bijrollen (onder meer van Joe Mantegna en Julie Kavner) zorgen voor meer dan een standaard feelgood movie volgens beproefd Hollywood-recept. Amsterdam,","['geest van Woody', 'is vaardig over', 'basketbalscheidsrechter (Crystal) en']",9,6
". TOT ZIENS Met een bewonderenswaardig oog voor detail maakte Heddy Honigmann een intieme film over de gedoemde liefde van een vrouw en een getrouwde man. Een ingetogen Johanna ter Steege en een sympathieke Guy van Sande geven kleur aan memorabele Hollandse scnes - van een woordeloze vrijage op de fiets tot een bitter-erotisch etentje bij de Chinees. Amsterdam, Kriterion",". TOT ZIENS Met een bewonderenswaardig oog voor detail maakte Heddy Honigmann een intieme film over de gedoemde liefde van een vrouw en een getrouwde <extra_id_0> Johanna ter Steege <extra_id_1> Guy van Sande geven kleur aan memorabele Hollandse scnes - van een woordeloze <extra_id_2> fiets tot een bitter-erotisch etentje bij de Chinees. Amsterdam, Kriterion","['man. Een ingetogen', 'en een sympathieke', 'vrijage op de']",9,6
"Matilda (Danny DeVito, 1996, VS). Vakbekwame verfilming doet grotendeels recht aan de kwaliteiten van Roald Dahls boek (1988) over het superieure isolement van een gevoelig en begaafd meisje. Regisseur De","Matilda (Danny DeVito, 1996, VS). Vakbekwame verfilming <extra_id_0> de kwaliteiten van Roald Dahls boek (1988) over het superieure isolement van een gevoelig en begaafd meisje. Regisseur De",['doet grotendeels recht aan'],4,6
een suggestie doen voor de wetenschappelijke vraag waar het essay over moet gaan. De winnende inzender krijgt een zilveren medaille.,een suggestie doen voor de wetenschappelijke vraag waar het essay over moet gaan. <extra_id_0> krijgt een zilveren medaille.,['De winnende inzender'],3,6
"Het oog van de adelaar (Peter Flinth, 1997, Denemarken). Grootscheepse middeleeuwse avonturenfilm met een inventieve koningszoon, goede en slechte ridders en een reddende arend.","Het oog van de adelaar (Peter Flinth, 1997, Denemarken). Grootscheepse middeleeuwse avonturenfilm met een inventieve koningszoon, goede <extra_id_0> een reddende arend.",['en slechte ridders en'],4,6
"van internetpiraterij, witwassen, auteursrechtenschending en het opzetten van een criminele organisatie.","van internetpiraterij, <extra_id_0> en het opzetten van een criminele organisatie.","['witwassen, auteursrechtenschending']",2,6
"n de Nederlandse Hervormde Kerk, de Gereformeerde Kerken in Nederland en de Evangelisch-Lutherse Kerk","n de Nederlandse Hervormde Kerk, de Gereformeerde Kerken in <extra_id_0> de Evangelisch-Lutherse Kerk",['Nederland en'],2,6
Hoe komt de Partij van de Arbeid de klap van de Provinciale-Statenverkiezingen te boven? Het is een vraag die de partij in alle geledingen bezighoudt. Een serie gesprekken met mensen uit de PvdA over de toekomst. Vandaag het,Hoe komt de Partij van de Arbeid de klap van de Provinciale-Statenverkiezingen te boven? Het is een vraag <extra_id_0> in alle geledingen bezighoudt. Een serie gesprekken met mensen uit de <extra_id_1> toekomst. Vandaag het,"['die de partij', 'PvdA over de']",6,6
"met veel vaart gefilmde tragikomedie over voetbal en ouder worden heeft enkele zwakke plekken, maar onderscheidt zich door enthousiast ensemblespel en typisch Hollandse beelden. Zeven jongens (Antonie Kamerling, Danny de Munk, Danil Boissevain, Peter Paul Muller, Raymi Sambo, Thomas Acda, Kasper van Kooten) maken voorafgaand aan hun 500ste competitiewedstrijd de balans op van hun leven en vriendschap.","<extra_id_0> gefilmde tragikomedie over voetbal en ouder worden heeft enkele zwakke plekken, maar onderscheidt zich door enthousiast <extra_id_1> Hollandse beelden. Zeven jongens (Antonie Kamerling, Danny de <extra_id_2> Peter Paul Muller, Raymi Sambo, Thomas Acda, Kasper van Kooten) maken voorafgaand aan hun 500ste competitiewedstrijd de balans op van hun leven en vriendschap.","['met veel vaart', 'ensemblespel en typisch', 'Munk, Danil Boissevain,']",9,6
"1987, VS). Slaafse kopie van de oorspronkelijke, prettig anarchistische komedie met de brutale komiek Eddie Murphy als de","<extra_id_0> kopie van de oorspronkelijke, prettig anarchistische komedie met de brutale komiek Eddie Murphy als de","['1987, VS). Slaafse']",3,6
Eerstejaars studenten maken voor NRC een eindexamen. Wat weten zij een jaar later nog van de stof? Vandaag:,Eerstejaars studenten maken voor NRC een eindexamen. Wat weten <extra_id_0> later nog van de stof? Vandaag:,['zij een jaar'],3,6
". Steel Magnolias (Herbert Ross, 1989, VS). Weinig oorspronkelijke toneelverfilming is een draak voor oudere meisjes. Sally Field, Dolly Parton, Shirley MacLaine, Olympia Dukakis, Julia Roberts en Darryl Hannah spelen typetjes die elkaar ontmoeten in een",". Steel Magnolias (Herbert Ross, 1989, VS). Weinig oorspronkelijke toneelverfilming is een draak <extra_id_0> Field, Dolly Parton, Shirley MacLaine, Olympia Dukakis, Julia Roberts en Darryl Hannah spelen typetjes die elkaar ontmoeten in een",['voor oudere meisjes. Sally'],5,6
